Show Name,City,Province,Venue,Address,StartDate,EndDate,Hours,Admission,Website,SourceUrl,Recurring,_status
"Hanover Card, Toy & Collectible Show",Hanover,ON,"Hanover Card, Toy & Collectible Show","Sunday, September 13, 2026 (10:00 AM - 3:00 PM)",2026-09-13,,10:00 AM - 3:00 PM,,https://www.facebook.com/share/1EMoArry48/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=26625,,CHANGED
Hobby Con Mississauga,Mississauga,ON,Eros Convention Center,2360 Lucknow Dr,2026-09-05,,10:00 AM - 6:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21130,,CHANGED
Nostalgia Fest Expo @ Square One,Mississauga,ON,Square One Event Hall,,2026-10-09,,4:00 PM - 6:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=30642,,CHANGED
Sport Card Expo Toronto,Mississauga,ON,The International Centre,6900 Airport Road,2026-11-05,,4:00 AM - 8:00 PM,,https://sportcardexpotoronto.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18008,,CHANGED
Hobby Con Mississauga,Mississauga,ON,Erosk Convention Center,2360 Lucknow Dr,2026-11-07,,10:00 AM - 6:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21132,,CHANGED
Hobby Con Ottawa,Ottawa,ON,Mosaic Convention Center,2465 St. Laurent Blvd,2026-09-12,,9:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=21141,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex CURLING RINK,1701 Woodroffe Ave. S,2026-09-12,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16939,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex CURLING RINK,1701 Woodroffe Ave. S,2026-09-13,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16940,,PREVIOUSLY-REJECTED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,1701 Woodroffe Ave. S,2026-10-11,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16941,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,,2026-11-01,,10:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16942,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,,2026-11-22,,10:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16949,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,,2026-12-06,,10:00 AM - 3:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16943,,CHANGED
Monthly Sports Card & Comic Book Show,Ottawa,ON,Nepean Sportsplex,1701 Woodroffe Ave S,2026-12-13,,10:00 AM - 3:00 PM,,http://capitaltradeshows.com/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=16950,,CHANGED
Greater Toronto Sports Card Show,Toronto,ON,3710 Chesswood Drive,Suite 220,2026-09-13,,10:00 AM - 4:00 PM,,https://gtcardshow.com/location-%26-show-dates,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18247,,CHANGED
Greater Toronto Sports Card Show,Toronto,ON,3710 Chesswood Drive,#Suite 220,2026-12-27,,10:00 AM - 4:00 PM,,https://gtcardshow.com/location-%26-show-dates,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=18248,,CHANGED
Border City Card Show,Lloydminster,SK,"WLS Convention Centre, Lloydminster Exhibition Grounds",5521 49 Ave,2026-11-07,,11:00 AM - 4:00 PM,,https://www.facebook.com/share/g/1BLwQGRkQg/?mibextid=wwXIfr,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31405,,CHANGED
Living Sky Card Show,Moose Jaw,SK,Cosmo Senior Centre,235 3rd Ave NE,2026-11-14,,10:00 AM - 3:00 PM,,https://www.facebook.com/share/196ASdJjYJ/?mibextid=wwXIfr,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=31404,,NEW
Saskatchewan Card & Collector Experience,Saskatoon,SK,"Prairieland Park, Hall B",,2026-09-26,,10:00 AM - 6:00 PM,,,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=30459,,CHANGED
Saskatchewan Card & Collector Experience,Saskatoon,SK,"Prairieland Park, Hall B",503 Ruth Street West,2026-09-27,,10:00 AM - 5:00 PM,,https://www.saskcardexp.ca/,https://www.tcdb.com/CardShows.cfm?MODE=VIEW&ID=30460,,NEW
